feature,importance
X1,0.4305035895976216
X4,0.13615270615453304
X2,0.13575872006491196
X5,0.13534269238460436
X7,0.07773033676494391
X3,0.072332490722449
X8,0.011442407962748556
X6,0.0007370563481877427
